UnitSetId,IsExchangeUnit,UniversityCountry,UniversityName,UniversityHref,UnitTitle,UnitCode,UnitHref,EquivalentUWAUnitLevel,IsEquivalent
292,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Group C Option,,1000,TRUE
292,TRUE,Norway,Norwegian University of Science and Technology,,Innovation,TIO4536,,1000,TRUE
293,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Group C or B option,,1000,TRUE
293,TRUE,Norway,Norwegian University of Science and Technology,,Port,TBA4145,,1000,TRUE
294,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3009,,1000,TRUE
294,TRUE,Norway,Norwegian University of Science and Technology,,Geotechnical Eng,TBA4100,,1000,TRUE
295,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL4402,,1000,TRUE
295,TRUE,Norway,Norwegian University of Science and Technology,,Engineering Fluid Mechanics,TEP4135,,1000,TRUE
296,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3140,,1000,TRUE
296,TRUE,Norway,Norwegian University of Science and Technology,,Finite Element Methods in Strength Analysis,TKT4192,,1000,TRUE
297,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL5501,,1000,TRUE
297,TRUE,Norway,Norwegian University of Science and Technology,,"Dynamics, Advanced course",TKT4108,,1000,TRUE
298,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5505,,1000,TRUE
298,TRUE,Norway,Norwegian University of Science and Technology,,Risk Management in Projects,TPK5115,,1000,TRUE
299,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL4402,,1000,TRUE
299,TRUE,Norway,Norwegian University of Science and Technology,,Hydraulic Design,TVM5125,,1000,TRUE
300,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3010,,1000,TRUE
300,TRUE,Norway,Norwegian University of Science and Technology,,Fluid Mechanics,TEP4105,,1000,TRUE
301,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Group D option unit,,1000,TRUE
301,TRUE,Norway,Norwegian University of Science and Technology,,Natural Gas  ,TPG4140,,1000,TRUE
302,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Group D option unit,,1000,TRUE
302,TRUE,Norway,Norwegian University of Science and Technology,,Effects of Climate Change,GEOG2007,,1000,TRUE
303,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Group D option unit,,1000,TRUE
303,TRUE,Norway,Norwegian University of Science and Technology,,Norwegian Society,SOS2501,,1000,TRUE
304,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Group D option unit,,1000,TRUE
304,TRUE,Norway,Norwegian University of Science and Technology,,Macroeconomics for Managers,SOK1151,,1000,TRUE
305,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MGMT3308,,1000,TRUE
305,TRUE,Norway,Norwegian University of Science and Technology,,Strategic Purchasing,TIØ4566,,1000,TRUE
306,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,INMT3234,,1000,TRUE
306,TRUE,Norway,Norwegian University of Science and Technology,,Knowledge Management in a Global Economy ,GEOG3518,,1000,TRUE
