UnitSetId,IsExchangeUnit,UniversityCountry,UniversityName,UniversityHref,UnitTitle,UnitCode,UnitHref,EquivalentUWAUnitLevel,IsEquivalent
397,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH2403,,1000,TRUE
397,TRUE,Canada,Queen's University,,Applied Thermo II,MECH330,,1000,TRUE
398,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MINE1160,,1000,TRUE
398,TRUE,Canada,Queen's University,,Intro to  Mining/ Mineral Processing,MINE201,,1000,TRUE
399,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG2140,,1000,TRUE
399,TRUE,Canada,Queen's University,,Differential Equations,MTHE237,,1000,TRUE
400,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL2110,,1000,TRUE
400,TRUE,Canada,University of Calgary,,Mechanics of Solids,ENGG317,,1000,TRUE
401,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH2402,,1000,TRUE
401,TRUE,Canada,University of Calgary,,Machine Component Design,ENME493,,1000,TRUE
402,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH2401,,1000,TRUE
402,TRUE,Canada,University of Calgary,,Roles,ENGG513,,1000,TRUE
403,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH2403,,1000,TRUE
403,TRUE,Canada,University of Calgary,,Fundamentals of Fluid Mechanics,ENME341,,1000,TRUE
404,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL2121,,1000,TRUE
404,TRUE,Canada,University of Calgary,,Intro to Geology 1,GLGY209,,1000,TRUE
405,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL2121,,1000,TRUE
405,TRUE,Canada,University of Calgary,,Engineering Geology,GLGY571,,1000,TRUE
406,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENVE3601,,1000,TRUE
406,TRUE,Canada,University of Calgary,,Fundamentals of Fluid Mechanics,ENME341,,1000,TRUE
407,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENVE3604,,1000,TRUE
407,TRUE,Canada,University of Calgary,,Energy,ENEE503,,1000,TRUE
408,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Elective,,1000,TRUE
408,TRUE,Canada,University of Calgary,,Water,Civil Eng 581,,1000,TRUE
409,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Elective,,1000,TRUE
409,TRUE,Canada,University of Calgary,,Earth Observation for the Environment,Geomatics Engineering 637,,1000,TRUE
410,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Elective,,1000,TRUE
410,TRUE,Canada,University of Calgary,,Roles,ENGG513,,1000,TRUE
411,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Elective,,1000,TRUE
411,TRUE,Canada,University of Calgary,,Site Assessment,Civil eng 587,,1000,TRUE
412,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Elective,,1000,TRUE
